Wavelength,Lunar irradiance
512.600,0.001541697596163114
518.400,0.001732583327526583
524.700,0.001868243618235958
530.400,0.001974562037506479
536.500,0.002003818125520908
542.800,0.002020231377650783
548.700,0.002057736378668609
554.500,0.002087303721993472
560.500,0.002113597210989099
566.700,0.002162510203518616
572.600,0.002178284036155808
578.500,0.002211567685037218
584.500,0.002216985410253343
590.600,0.002218608024491117
596.700,0.002218056985091816
602.500,0.002206043318994933
608.600,0.002201436909660912
614.600,0.002224173374122325
620.500,0.002197660015709706
626.700,0.002203047783590978
632.700,0.002185389411049351
638.600,0.002176072364617999
644.600,0.002168793918478868
650.600,0.002109773353921072
656.600,0.002058440492192781
662.600,0.002102854002688132
668.800,0.002114743595294518
674.700,0.002082053885114458
680.600,0.002068368628421284
686.700,0.002057849969882193
692.600,0.002043340607516389
698.600,0.002009114709977083
704.700,0.002001257203412357
710.800,0.001986265475834038
716.700,0.001957716130622508
722.700,0.001945669720989854
728.700,0.001928531056084693
734.700,0.001908185129684875
740.700,0.001884663478725155
746.800,0.001886151543159185
752.800,0.001864895730309880
758.700,0.001857101563995328
764.800,0.001831687184248082
770.700,0.001797516439735651
776.700,0.001791215452455356
782.700,0.001779616311554727
788.800,0.001750245359647185
794.700,0.001719575863991374
800.700,0.001699868620472202
806.800,0.001680075177130079
812.700,0.001664951595879837
818.700,0.001638925928329023
824.800,0.001613987738998316
830.800,0.001589982391639498
836.800,0.001583719372609231
842.800,0.001560181876228919
848.800,0.001492424807783308
854.600,0.001484644600579341
860.700,0.001491539965240182
866.700,0.001475033038036011
872.700,0.001443029036571732
878.700,0.001439855200464309
884.600,0.001435650875277093
890.700,0.001417732173532108
896.600,0.001405724303021632
902.700,0.001396764068515626
908.700,0.001392973764642213
914.600,0.001373265094515108
920.600,0.001361340780601939
926.600,0.001353276398102316
932.600,0.001367217781761626
938.600,0.001349421721018673
944.600,0.001318747171486363
955.400,0.001315829308113919
963.500,0.001298178234301703
971.400,0.001282787598624369
979.700,0.001277036458981344
987.600,0.001278914619599312
993.700,0.001249291934952943
1003.60,0.001251348631256323
1013.10,0.001239379883451867
1019.50,0.001210778616182623
1027.70,0.001195828988644550
1035.50,0.001190658794170921
1043.60,0.001174804520465985
1051.70,0.001164106264549566
1059.70,0.001146647920781391
1067.80,0.001129748182711149
1075.80,0.001121265693549410
1083.60,0.001108393611965336
1091.80,0.001096800893958810
1099.70,0.001114294836755816
1107.70,0.001100107421289476
1115.90,0.001100168587768317
1123.80,0.001092276372652472
1131.80,0.001078013121406673
1139.70,0.001053504327985641
1147.80,0.001054550418712239
1155.70,0.001038432767938965
1163.80,0.001032101802088879
1171.80,0.001017499935874870
1179.80,0.001014659264717605
1187.80,0.001016208085297155
1195.80,0.001007291662511354
1203.90,0.001003363935190604
1211.90,0.0009927365609361603
1219.80,0.0009761252717308763
1227.90,0.0009692574811995682
1235.90,0.0009543525751151471
1244.00,0.0009461883499043015
1252.00,0.0009369378689415205
1259.80,0.0009301543598016575
1267.80,0.0009241336832694232
1275.90,0.0009102575328127040
1284.20,0.0009088417980053396
1292.00,0.0008981739798041197
1299.80,0.0008895789056667861
1307.80,0.0008788221618447163
1315.90,0.0008681545742012361
1323.80,0.0008662259050535690
1331.80,0.0008507787698184069
1339.80,0.0008458797524081688
1347.80,0.0008395216636488416
1355.80,0.0008307246329145555
1363.80,0.0008254161092094974
1371.80,0.0008193055438635066
1379.80,0.0008130617520736277
1387.80,0.0008081047649292899
1395.90,0.0008035001685595516
1403.80,0.0007889273204141824
1411.80,0.0007841084139503541
1419.80,0.0007797497193590814
1427.90,0.0007680793030532048
1435.70,0.0007591763406897216
1443.80,0.0007521441586990094
1451.90,0.0007410522238504425
1459.80,0.0007387036242167263
1467.80,0.0007435281186959349
1475.80,0.0007323215839324226
1483.90,0.0007109012863692966
1491.80,0.0007106497773262344
1499.80,0.0006971780359766232
1507.80,0.0006992190928316315
1515.70,0.0006907391914136086
1523.80,0.0006827383541643846
1531.70,0.0006748874705543462
1539.70,0.0006714694737332256
1547.70,0.0006628067660257157
1555.50,0.0006553499405919640
1563.70,0.0006462214529181433
1571.70,0.0006354183483511168
1579.60,0.0006308379572914261
1587.70,0.0006243247243387118
1595.70,0.0006238723649466120
1603.70,0.0006158806150443184
1611.70,0.0006037667130505009
1620.10,0.0005983662977743238
1628.10,0.0005943635091249757
1636.10,0.0005848273737165008
1644.20,0.0005798525980377364
