##pix	wave	b0	h	c	g
205	1861.8	0.95956	0.092549	0.033092	0.177996
206	1870.1	0.9668	0.092549	0.033092	0.177766
207	1877.3	0.95139	0.092549	0.033092	0.179086
208	1885.7	0.97173	0.092549	0.033092	0.173873
209	1893.7	0.93485	0.092549	0.033092	0.178642
210	1901.5	0.89947	0.092549	0.033092	0.179844
211	1910	0.93167	0.092549	0.033092	0.177672
212	1918	1.01137	0.092549	0.033092	0.166783
213	1925.3	0.97438	0.092549	0.033092	0.171239
214	1934.3	0.87164	0.092549	0.033092	0.182869
215	1942	0.7883	0.092549	0.033092	0.196074
216	1948.8	0.91837	0.092549	0.033092	0.178593
217	1957.6	0.95753	0.092549	0.033092	0.172577
218	1965.9	0.99823	0.092549	0.033092	0.163177
219	1973.3	0.89902	0.092549	0.033092	0.177359
220	1981.3	0.96133	0.092549	0.033092	0.160426
221	1989.4	0.95739	0.092549	0.033092	0.161673
222	1997.7	0.98369	0.092549	0.033092	0.15347
223	2005.8	0.96131	0.092549	0.033092	0.159182
224	2013	1.04509	0.092549	0.033092	0.143503
225	2021.5	1.03482	0.092549	0.033092	0.149774
226	2029.3	1.06277	0.092549	0.033092	0.142972
227	2037.4	0.98652	0.092549	0.033092	0.156704
228	2045.8	1.0101	0.092549	0.033092	0.14608
229	2053.3	0.94696	0.092549	0.033092	0.157849
