##pix	wave	b0	h	c	g
152	1419.8	0.713	0.1157	-0.282	0.173
153	1427.9	0.696	0.1105	-0.284	0.176
154	1435.7	0.717	0.1188	-0.28	0.171
155	1443.8	0.694	0.1114	-0.289	0.175
156	1451.9	0.755	0.1316	-0.33	0.158
157	1459.8	0.678	0.1055	-0.243	0.181
158	1467.8	0.724	0.1234	-0.298	0.166
159	1475.8	0.702	0.1173	-0.289	0.171
160	1483.9	0.697	0.1167	-0.273	0.172
161	1491.8	0.727	0.1269	-0.304	0.163
162	1499.8	0.714	0.1238	-0.308	0.164
163	1507.8	0.708	0.1212	-0.293	0.166
164	1515.7	0.72	0.1292	-0.306	0.162
165	1523.8	0.714	0.1284	-0.317	0.161
166	1531.7	0.692	0.1216	-0.274	0.168
167	1539.7	0.714	0.131	-0.338	0.158
168	1547.7	0.692	0.1237	-0.291	0.165
169	1555.5	0.696	0.1254	-0.304	0.163
170	1563.7	0.708	0.1309	-0.33	0.158
171	1571.7	0.711	0.1326	-0.343	0.156
172	1579.6	0.736	0.1427	-0.349	0.15
173	1587.7	0.719	0.1354	-0.354	0.153
174	1595.7	0.745	0.1446	-0.356	0.148
175	1603.7	0.734	0.141	-0.348	0.151
176	1611.7	0.762	0.1471	-0.395	0.142
177	1620.1	0.772	0.1506	-0.385	0.142
178	1628.1	0.769	0.1476	-0.409	0.14
179	1636.1	0.753	0.1424	-0.38	0.145
180	1644.2	0.727	0.135	-0.343	0.152
186	1709.8	0.78439	0.134951	-0.34289	0.155918
187	1717.6	0.75681	0.134951	-0.34289	0.157971
188	1725.6	0.79808	0.134951	-0.34289	0.14804
189	1733.7	0.76984	0.134951	-0.34289	0.151285
190	1742	0.7617	0.134951	-0.34289	0.151047
191	1749.7	0.72667	0.134951	-0.34289	0.15558
192	1757.7	0.71948	0.134951	-0.34289	0.15686
193	1766.3	0.72401	0.134951	-0.34289	0.155
194	1773.6	0.71956	0.134951	-0.34289	0.154732
195	1782.2	0.72	0.134951	-0.34289	0.155169
196	1789.8	0.72247	0.134951	-0.34289	0.151909
197	1797.6	0.72347	0.134951	-0.34289	0.151061
198	1805.8	0.7293	0.134951	-0.34289	0.146462
199	1813.7	0.71808	0.134951	-0.34289	0.150102
200	1822	0.69929	0.134951	-0.34289	0.153209
201	1830	0.70865	0.134951	-0.34289	0.150921
202	1837.6	0.70721	0.134951	-0.34289	0.150055
203	1845.6	0.72742	0.134951	-0.34289	0.146871
204	1853.7	0.707	0.134951	-0.34289	0.151398
